X,Y,OBJECTID,AIC,LifeboatStationNameProper,LaunchTime,YearOfCall,LifeboatClass,LifeboatNumber,RoSType,CasualtyCategory,CasualtyTypeFull,ReasonForLaunch,OutcomeOfService,Activity,VisibilityAtIncident,WeatherAtIncident,SeaConditionsAtIncident,WeatherAtLaunch,VisibilityAtLaunch,WindDirectionAtLaunch,SeaConditionsAtLaunch,DateOfLaunch,ROSNumber,GlobalID,CreationDate,Creator,EditDate,Editor
-9.3006,53.2169,46920,Hoax and false alarm,GALWAY,23:25:00,2009,,B-738,ILB,OTHER,Distress signals,Thought to be in trouble,Hoax call suspected but unconfirmed,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,PART CLOUDY,SLIGHT,PART CLOUDY,FAIR,225,SLIGHT,2009/06/24 00:00:00+00,,{10261C72-3641-46BD-A288-E61314517696},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.2959,53.2402,47400,Sailing - Other reason,GALWAY,09:30:00,2010,ATLANTIC 75,B-757,ILB,LEISURE,Yacht with engine,Leaks / Swamping,Others assisted casualty,SAILING,GOOD,CLOUDY,SLIGHT,CLOUDY,GOOD,225,SLIGHT,2010/07/25 00:00:00+00,,{02CDD7A2-DB9D-4921-BE9A-07D790368FBE},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.261,53.1538,47641,Hoax and false alarm,GALWAY,03:52:00,2009,,B-738,ILB,OTHER,Distress signals,Thought to be in trouble,Hoax call suspected but unconfirmed,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,270,SLIGHT,2009/07/23 00:00:00+00,,{0468C406-F165-4530-AE6E-1A80051E2970},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0354,53.2624,47649,Hoax and false alarm,GALWAY,11:36:00,2009,,B-738,ILB,LEISURE,Yacht with engine,Thought to be in trouble,False alarm,SAILING,GOOD,CLEAR SKY,CHOPPY,CLEAR SKY,GOOD,225,CHOPPY,2009/07/12 00:00:00+00,,{EBE88CEA-CEA2-4211-9612-60BBBCC6D57D},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.9652,53.2407,47660,Sailing - Other reason,GALWAY,13:48:00,2009,,B-738,ILB,LEISURE,Yacht with engine,Stranding or grounding,Resolved unaided,SAILING,GOOD,CLOUDY,SLIGHT,CLOUDY,GOOD,248,SLIGHT,2009/07/04 00:00:00+00,,{387A9CD6-3B7A-48F8-AB62-55C2C637BF5D},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0518,53.2687,47908,Person in distress,GALWAY,01:20:00,2009,,B-738,ILB,PEOPLE,Person on man made structure,Person in distress,Others assisted casualty,SUSPECTED SELF HARM,GOOD,CLOUDY,CALM,CLOUDY,GOOD,158,CALM,2009/03/15 00:00:00+00,,{4C871EB4-5B18-4C02-84BC-3B165085E7F4},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0821,53.2405,47986,Hoax and false alarm,GALWAY,15:25:00,2009,,B-738,ILB,OTHER,Distress signals,Thought to be in trouble,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,270,CALM,2009/07/07 00:00:00+00,,{BB0A6D95-3CD8-45B1-B662-1C23B280AB95},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0288,53.249,47987,Small craft - Dinghy sailing,GALWAY,15:25:00,2009,,B-738,ILB,LEISURE,Sailing Dinghy,Capsize,Rendered assistance,SAILING,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,270,CALM,2009/07/07 00:00:00+00,,{151648FD-3ACF-4DCC-B80B-A42A09FD2A42},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0172,53.2591,48002,Walker - Trapped on shore,GALWAY,14:03:00,2009,,B-738,ILB,PEOPLE,Person on island,Stranded,Resolved unaided,WALKING,GOOD,CLOUDY,SLIGHT,CLOUDY,GOOD,45,SLIGHT,2009/04/25 00:00:00+00,,{BBDA307C-D7FA-496C-B53F-59F975D59215},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.9833,53.2333,48170,Sailing - Other reason,GALWAY,14:19:00,2015,ATLANTIC 85,B-853,ILB,LEISURE,Yacht with engine,Adverse conditions,Rendered assistance,SAILING,GOOD,CLOUDY,SLIGHT,CLOUDY,GOOD,0,SLIGHT,2015/08/06 00:00:00+00,,{7FE6C33A-9BF5-4D2A-961A-BA70DE86034D},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
