X,Y,OBJECTID,AIC,LifeboatStationNameProper,LaunchTime,YearOfCall,LifeboatClass,LifeboatNumber,RoSType,CasualtyCategory,CasualtyTypeFull,ReasonForLaunch,OutcomeOfService,Activity,VisibilityAtIncident,WeatherAtIncident,SeaConditionsAtIncident,WeatherAtLaunch,VisibilityAtLaunch,WindDirectionAtLaunch,SeaConditionsAtLaunch,DateOfLaunch,ROSNumber,GlobalID,CreationDate,Creator,EditDate,Editor
-8.975,53.2583,57500,Hoax and false alarm,GALWAY,11:55:00,2015,ATLANTIC 85,B-853,ILB,OTHER,Distress signals,Thought to be in trouble,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLOUDY,SMOOTH,CLOUDY,GOOD,0,SMOOTH,2015/09/03 00:00:00+00,,{D9CA1DC8-198A-433B-AD16-4EBC38621256},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0489,53.2669,57511,Waterside activity - On shore,GALWAY,23:13:00,2015,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person in distress,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,PART CLOUDY,SMOOTH,PART CLOUDY,FAIR,270,SMOOTH,2015/06/24 00:00:00+00,,{DC1C9CE7-7C78-4B68-A8F7-DA50F44D44E8},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.997,53.245,57526,Sailing - Other reason,GALWAY,17:18:00,2015,ATLANTIC 85,B-853,ILB,LEISURE,Yacht with engine,Adverse conditions,Rendered assistance,SAILING,GOOD,PART CLOUDY,CHOPPY,PART CLOUDY,GOOD,270,CHOPPY,2015/06/20 00:00:00+00,,{75E8EEB9-0912-4F4C-AF13-ABB8E90AEADD},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0033,53.17,57535,Hoax and false alarm,GALWAY,23:33:00,2015,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Thought to be in trouble,False alarm,AT ANCHOR / MOORED / ALONGSIDE,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,45,CALM,2015/06/14 00:00:00+00,,{B76F442E-B795-48B3-B3F7-DF759B9B7863},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1,53.2533,59641,Motorboating - Other reason,GALWAY,18:50:00,2015,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,No service - lifeboat unsuitable,MOTORBOATING,FAIR,PART CLOUDY,SMOOTH,PART CLOUDY,FAIR,180,SMOOTH,2015/09/08 00:00:00+00,,{4FFD2AFD-D3E9-4AD1-B841-4443C9743406},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0151,53.254,62625,Sailing - Other reason,GALWAY,20:18:00,2009,,B-738,ILB,LEISURE,Yacht with engine,Fouled propeller / impeller,Rendered assistance,MOTORBOATING,FAIR,CLOUDY,CHOPPY,CLOUDY,FAIR,225,CHOPPY,2009/08/31 00:00:00+00,,{15BD8E06-3C67-4EBC-B00F-C015801F0ADA},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.035,53.2667,62659,Sailing - Man overboard,GALWAY,16:47:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Yacht with engine,"Vessel abandoned, derelict or adrift",Rendered assistance,AT ANCHOR / MOORED / ALONGSIDE,GOOD,CLOUDY,CHOPPY,CLOUDY,GOOD,270,CHOPPY,2012/09/13 00:00:00+00,,{500387FD-E8CA-477C-B60C-D918E217C788},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.4286,53.2247,63384,Small craft - Inflatables,GALWAY,16:35:00,2011,ATLANTIC 75,B-757,ILB,LEISURE,Inflatables (airbed/toy/dinghy),Adverse conditions,Others assisted casualty,MANUAL CRAFT ACTIVITY (INFLATABLES),GOOD,CLOUDY,SLIGHT,CLOUDY,GOOD,338,SLIGHT,2011/08/28 00:00:00+00,,{C1105CB0-415B-4738-9EB9-CD0E079E4A6E},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.3008,53.24,64248,Angling from boat - Ill crewman,GALWAY,12:52:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Illness,Rendered assistance,FISHING (LEISURE),GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,45,SMOOTH,2012/09/21 00:00:00+00,,{F312EE47-0370-4F4B-97E6-B2C60A285B46},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.2,53.2,64397,Motorboating - Other reason,GALWAY,20:11:00,2014,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,MOTORBOATING,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,225,CALM,2014/09/21 00:00:00+00,,{DF5368A9-5987-4540-A0F1-21F0B0DBE181},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.053,53.1728,64421,Angling from boat - Other reason,GALWAY,19:30:00,2010,ATLANTIC 75,B-757,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,FISHING (LEISURE),FAIR,SQUALLY,ROUGH,SQUALLY,FAIR,270,ROUGH,2010/08/21 00:00:00+00,,{E4F7CE59-91FC-4ACD-991D-E19658007E7A},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0374,53.2662,64428,Sailing - Man overboard,GALWAY,10:50:00,2010,ATLANTIC 75,B-757,ILB,LEISURE,Yacht no engine,"Vessel abandoned, derelict or adrift",Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,CLOUDY,CHOPPY,CLOUDY,FAIR,225,CHOPPY,2010/09/05 00:00:00+00,,{7FA677F3-33E3-4BFB-A83F-D7224E7DD53A},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1659,53.2447,64436,Angling from boat - Other reason,GALWAY,13:45:00,2010,ATLANTIC 75,B-757,ILB,LEISURE,Powered boat,Leaks / Swamping,Rendered assistance,FISHING (LEISURE),FAIR,CLOUDY,CHOPPY,CLOUDY,FAIR,180,CHOPPY,2010/09/05 00:00:00+00,,{4425DC7C-C67C-4643-BF7A-91162CFA361D},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9,53.2508,64571,Waterside activity - On shore,GALWAY,18:00:00,2014,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLOUDY,CALM,CLOUDY,GOOD,0,CALM,2014/09/10 00:00:00+00,,{A8A604B1-FCAB-4677-BD9C-71CB1799E658},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.025,53.26,64577,Walker - Trapped on shore,GALWAY,13:48:00,2014,ATLANTIC 85,B-853,ILB,PEOPLE,Person on island,Cut off by tide,Rendered assistance,WALKING / RUNNING,GOOD,CLEAR SKY,SMOOTH,CLEAR SKY,GOOD,45,SMOOTH,2014/09/07 00:00:00+00,,{CA1C18A1-11BD-4A44-ACFA-8FBC6C8ADF75},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1667,53.15,64584,Scuba diving,GALWAY,18:55:00,2014,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,SCUBA DIVING,GOOD,CLEAR SKY,SLIGHT,CLEAR SKY,GOOD,0,SLIGHT,2014/08/22 00:00:00+00,,{7D58072D-CC3D-4DC1-816C-BC5876D56E54},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0417,53.267,64592,Swimmers,GALWAY,16:08:00,2014,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Rendered assistance,SWIMMING,GOOD,CLOUDY,CHOPPY,CLOUDY,GOOD,315,CHOPPY,2014/08/16 00:00:00+00,,{2DB0058A-9D22-4D0F-B411-58714CE1336D},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.15,53.2425,64600,Motorboating - Other reason,GALWAY,22:20:00,2014,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,MOTORBOATING,FAIR,CLOUDY,ROUGH,CLOUDY,FAIR,135,ROUGH,2014/07/15 00:00:00+00,,{9645B199-951D-4A2E-A5FF-740449640FAA},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0247,53.192,64663,Motorboating - Other reason,GALWAY,16:20:00,2008,,B-738,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,SAILING,GOOD,CLEAR SKY,CHOPPY,CLEAR SKY,GOOD,203,CHOPPY,2008/08/22 00:00:00+00,,{C91685AA-96E8-4CAE-B6D9-9909BEE8D923},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1286,53.2237,64683,Motorboating - Other reason,GALWAY,16:10:00,2008,,B-738,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,,CALM,2008/09/26 00:00:00+00,,{1E01786C-2966-4DEE-B782-DF324112B006},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0291,53.254,64691,Angling from boat - Other reason,GALWAY,10:35:00,2008,,B-738,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,FISHING (LEISURE),GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,158,SLIGHT,2008/09/20 00:00:00+00,,{2F754AEF-B783-4AE1-8C97-AB6DED7D3AE0},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.96,53.2425,64703,Motorboating - Other reason,GALWAY,21:30:00,2008,,B-738,ILB,LEISURE,Powered boat,Cause (other),Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,225,SLIGHT,2008/08/10 00:00:00+00,,{AD6072E9-0784-47A8-A10F-E415089C8B34},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1403,53.238,64745,Angling from boat - Other reason,GALWAY,14:34:00,2014,ATLANTIC 85,B-853,ILB,LEISURE,Fishing Vessel (Leisure),Machinery failure,Rendered assistance,FISHING (LEISURE),GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,0,SMOOTH,2014/08/22 00:00:00+00,,{E21D0ED7-7CEB-4B56-9AC0-2326087FB09A},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.5148,53.1888,65681,Hoax and false alarm,GALWAY,14:20:00,2009,,B-738,ILB,OTHER,Aircraft,Aircraft thought to be in trouble,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,0,CALM,2009/09/11 00:00:00+00,,{5D5008A7-7A9F-4759-B574-E0B6E7ECB052},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1517,53.15,66004,Scuba diving,GALWAY,18:13:00,2013,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,Rendered assistance,SCUBA DIVING,FAIR,CLOUDY,SLIGHT,CLOUDY,FAIR,225,SLIGHT,2013/09/04 00:00:00+00,,{0C625C28-9FF6-4858-AEEB-48039FB050CF},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1333,53.2417,66031,Motorboating - Other reason,GALWAY,13:59:00,2013,ATLANTIC 85,B-853,ILB,LEISURE,Powered boat,Machinery failure,Others assisted casualty,MOTORBOATING,FAIR,CLOUDY,CHOPPY,CLOUDY,FAIR,270,CHOPPY,2013/09/15 00:00:00+00,,{7983B6CC-3C57-417C-B321-FB90E0B22139},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.3567,53.2208,66624,Angling from boat - Other reason,GALWAY,20:14:00,2015,ATLANTIC 85,B-865,ILB,LEISURE,Fishing Vessel (Leisure),Machinery failure,Rendered assistance,FISHING (LEISURE),GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,90,CALM,2015/10/17 00:00:00+00,,{1C1A0701-8AE6-4DDE-A893-BCABE3E76D7A},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.09,53.25,67658,Swimmers,GALWAY,19:25:00,2014,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Others assisted casualty,SWIMMING,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,225,SMOOTH,2014/10/01 00:00:00+00,,{241B8D5F-65F4-4B1C-9E6C-FF27A3DDA4E4},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0847,53.1638,67970,Sailing - Other reason,GALWAY,18:00:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Yacht with engine,Thought to be in trouble,Others assisted casualty,SAILING,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,90,SMOOTH,2012/10/13 00:00:00+00,,{E2225993-5062-4A24-B83F-CC585B4B194E},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0687,53.255,68626,Hoax and false alarm,GALWAY,16:28:00,2015,ATLANTIC 85,B-853,ILB,OTHER,Object in the sea,Marine Debris or Object,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SLIGHT,PART CLOUDY,GOOD,225,SLIGHT,2015/09/07 00:00:00+00,,{6511FF96-566A-4986-B058-2F7204884FF6},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0233,53.2583,68683,Walker - Trapped on shore,GALWAY,16:26:00,2015,ATLANTIC 85,B-865,ILB,PEOPLE,Person on island,Cut off by tide,Resolved unaided,WALKING / RUNNING,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,0,CALM,2015/10/01 00:00:00+00,,{6FF36F7E-DFAA-448A-A658-85912AF2BF76},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-8.975,53.2583,68696,Hoax and false alarm,GALWAY,18:59:00,2015,ATLANTIC 85,B-865,ILB,OTHER,Distress signals,Thought to be in trouble,Hoax call suspected but unconfirmed,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,225,CALM,2015/09/27 00:00:00+00,,{72A7AD9C-A5E1-4568-A65D-BC3D5F321E1D},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0383,53.2717,68717,Waterside activity - In water,GALWAY,20:04:00,2015,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,0,CALM,2015/06/09 00:00:00+00,,{2D2567E1-9C96-460F-A7D7-85EBDC936257},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0417,53.2717,68724,Waterside activity - In water,GALWAY,23:46:00,2015,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,0,CALM,2015/05/06 00:00:00+00,,{57FD95F2-5646-4168-B5F1-3499065B7067},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1217,53.245,68729,Other - Trapped on shore,GALWAY,20:01:00,2015,ATLANTIC 85,B-853,ILB,PEOPLE,Person on island,Cut off by tide,Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,90,CALM,2015/04/22 00:00:00+00,,{567AFDB6-3A62-4BED-B6BC-7E24CF9D6D22},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0408,53.2677,68878,Small craft - Rowing,GALWAY,17:57:00,2008,,B-738,ILB,LEISURE,Rowing Boat,Capsize,No service - lifeboat unsuitable,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,225,CALM,2008/09/28 00:00:00+00,,{F2E58396-BDB2-486F-B75E-3A7C674D9344},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0489,53.2664,68884,Waterside activity - On shore,GALWAY,20:36:00,2008,,B-738,ILB,PEOPLE,Person in water,Person missing,Unsuccessful search,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,135,CALM,2008/10/08 00:00:00+00,,{4BBE72B1-9DAB-4F6B-B1E6-84228B563747},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0489,53.2664,68890,Waterside activity - On shore,GALWAY,08:00:00,2008,,B-738,ILB,PEOPLE,Person in water,Person missing,Rendered assistance,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,CLOUDY,CHOPPY,CLOUDY,FAIR,180,CHOPPY,2008/10/09 00:00:00+00,,{4219FCBE-5100-4A5A-A7AE-B8103509D2C7},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0368,53.224,69096,Sailing - Other reason,GALWAY,11:05:00,2009,,B-738,ILB,LEISURE,Yacht no engine,Leaks / Swamping,Rendered assistance,SAILING,GOOD,CLOUDY,ROUGH,CLOUDY,GOOD,248,ROUGH,2009/09/05 00:00:00+00,,{DA5875A4-04D0-4E13-A3E2-E1B2A181937C},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0368,53.224,69097,Sailing - Other reason,GALWAY,11:05:00,2009,,B-738,ILB,LEISURE,Yacht no engine,Leaks / Swamping,Rendered assistance,SAILING,GOOD,CLOUDY,ROUGH,CLOUDY,GOOD,248,ROUGH,2009/09/05 00:00:00+00,,{E388B5F7-125D-49B9-8CAB-ACC00791FBF5},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0283,53.2617,69253,Hoax and false alarm,GALWAY,17:38:00,2013,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLOUDY,SLIGHT,CLOUDY,GOOD,270,SLIGHT,2013/10/17 00:00:00+00,,{D5E156B0-575E-41CC-AC50-0A80ACDBE7B2},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0283,53.2617,69265,Person in distress,GALWAY,20:46:00,2013,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,180,SMOOTH,2013/10/20 00:00:00+00,,{CDA1A7A1-557F-4365-9087-0591D36FC84E},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0796,53.2524,70150,Hoax and false alarm,GALWAY,23:00:00,2010,ATLANTIC 75,B-757,ILB,OTHER,Distress signals,Thought to be in trouble,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,GLASS CALM,CLEAR SKY,GOOD,90,GLASS CALM,2010/10/11 00:00:00+00,,{EEF6093C-FBF1-4CF2-9FB7-377D8EB6A9B2},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0184,53.2599,70168,Walker - Trapped on shore,GALWAY,15:10:00,2010,ATLANTIC 75,B-757,ILB,PEOPLE,Person on sandbank/mud,Cut off by tide,Resolved unaided,WALKING,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,225,CALM,2010/09/29 00:00:00+00,,{3AE22F51-F9A8-49BA-B6A9-55A4E4406720},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.2951,53.2403,70665,Hoax and false alarm,GALWAY,23:58:00,2009,,B-738,ILB,OTHER,Distress signals,Thought to be in trouble,Hoax call suspected but unconfirmed,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,,CALM,2009/09/29 00:00:00+00,,{4F01DCB6-36E8-4CB7-97CF-A88449AA42A2},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0917,53.2567,70736,Small craft - Kayak and canoeing,GALWAY,14:58:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Canoe/Kayak,Leaks / Swamping,Rendered assistance,KAYAKING/CANOEING (SIT IN),GOOD,CLOUDY,CALM,CLOUDY,GOOD,90,CALM,2012/10/07 00:00:00+00,,{96A808BE-CC35-46E5-9758-EECD225EE05C},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0417,53.2517,70744,Sailing - Other reason,GALWAY,20:05:00,2012,ATLANTIC 85,B-853,ILB,LEISURE,Yacht with engine,Sail failure / dismasting,Rendered assistance,SAILING,POOR,SQUALLY,CHOPPY,SQUALLY,POOR,225,CHOPPY,2012/09/27 00:00:00+00,,{EBADB728-CDCC-453B-A7A0-615FD80BF6C4},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.1464,53.2335,70866,Hoax and false alarm,GALWAY,16:12:00,2009,,B-738,ILB,OTHER,Distress signals,Thought to be in trouble,Hoax call suspected but unconfirmed,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,45,CALM,2009/10/01 00:00:00+00,,{60D2B89D-42FF-45D0-94BC-2149D7696B8A},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0452,53.2691,70974,Hoax and false alarm,GALWAY,19:36:00,2011,ATLANTIC 85,B-853,ILB,PEOPLE,Person missing,Person missing,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,PART CLOUDY,SMOOTH,PART CLOUDY,FAIR,293,SMOOTH,2011/09/17 00:00:00+00,,{C1431495-DCCB-4615-80EA-E423FA0A019C},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0533,53.2691,70981,Person in distress,GALWAY,18:55:00,2011,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Others assisted casualty,SUSPECTED SELF HARM,GOOD,PART CLOUDY,CALM,PART CLOUDY,GOOD,135,CALM,2011/10/13 00:00:00+00,,{D6E67B18-D159-4E6A-B608-0879B9317DDF},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0482,53.2692,71454,Waterside activity - In water,GALWAY,01:43:00,2014,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,135,SMOOTH,2014/11/11 00:00:00+00,,{EAD491F1-FD30-4A8B-9C9F-8615834EF6B4},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.05,53.27,71692,Hoax and false alarm,GALWAY,02:05:00,2013,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,Person missing,Hoax call confirmed,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,CLOUDY,SLIGHT,CLOUDY,FAIR,225,SLIGHT,2013/11/01 00:00:00+00,,{D7AB9157-1D6E-46EF-829D-82AC332570BB},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0288,53.249,71712,Hoax and false alarm,GALWAY,23:02:00,2008,,B-738,ILB,OTHER,Distress signals,Thought to be in trouble,Hoax call suspected but unconfirmed,NOT KNOWN / NOT RELEVANT / OTHER,POOR,PART CLOUDY,CHOPPY,PART CLOUDY,POOR,225,CHOPPY,2008/11/15 00:00:00+00,,{5F121AD5-D942-4E02-A502-7A968D367A45},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0417,53.2667,71882,Hoax and false alarm,GALWAY,02:15:00,2015,ATLANTIC 85,B-865,ILB,PEOPLE,Person in water,Person missing,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,PART CLOUDY,SLIGHT,PART CLOUDY,FAIR,248,SLIGHT,2015/11/28 00:00:00+00,,{8D644200-B120-4CCC-80A1-877846ECB319},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0403,53.2575,73124,Hoax and false alarm,GALWAY,04:19:00,2008,,B-738,ILB,OTHER,Distress signals,Thought to be in trouble,Hoax call suspected but unconfirmed,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,315,SMOOTH,2008/12/05 00:00:00+00,,{F111BADF-1A0B-41AE-8633-5B116983E1B9},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0833,53.25,74248,Small craft - Wind surf,GALWAY,18:55:00,2014,ATLANTIC 85,B-853,ILB,LEISURE,Sailboard,Thought to be in trouble,Resolved unaided,WINDSURFING / KITE SURFING,GOOD,CLOUDY,CHOPPY,CLOUDY,GOOD,0,CHOPPY,2014/10/22 00:00:00+00,,{1DE6093E-505A-4C27-A452-D71440A50C70},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0833,53.238,74254,Hoax and false alarm,GALWAY,20:50:00,2014,ATLANTIC 85,B-853,ILB,OTHER,Distress signals,Thought to be in trouble,False alarm,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,CLEAR SKY,CALM,CLEAR SKY,GOOD,270,CALM,2014/12/01 00:00:00+00,,{7C08B305-358D-4580-AEB2-70569CC17254},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0417,53.2667,74541,Waterside activity - On shore,GALWAY,08:08:00,2015,ATLANTIC 85,B-865,ILB,PEOPLE,Person in water,Person missing,Unsuccessful search,NOT KNOWN / NOT RELEVANT / OTHER,FAIR,CLOUDY,ROUGH,CLOUDY,FAIR,225,ROUGH,2015/12/20 00:00:00+00,,{D8C3EA1B-B347-43BE-82B0-DE532CBA9507},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
-9.0467,53.2667,75108,Waterside activity - In water,GALWAY,18:45:00,2013,ATLANTIC 85,B-853,ILB,PEOPLE,Person in water,In danger of drowning,Others assisted casualty,NOT KNOWN / NOT RELEVANT / OTHER,GOOD,PART CLOUDY,SMOOTH,PART CLOUDY,GOOD,90,SMOOTH,2013/12/02 00:00:00+00,,{081D932D-24CC-4FA7-815D-59DC339E1944},2020/06/12 15:41:02+00,RNLIORU,2020/06/12 15:41:02+00,RNLIORU
